subws,period,start_date,end_date
sfc,alltime,8/1/2015,7/31/2020
tre,alltime,8/1/2015,7/31/2020
uql,alltime,8/1/2015,7/31/2020
wil,alltime,8/1/2015,7/31/2020
zie,alltime,8/1/2015,7/31/2020
que,alltime,8/1/2015,7/31/2020
sfc,dry_years,8/1/2015,7/31/2016
tre,dry_years,8/1/2015,7/31/2016
uql,dry_years,8/1/2015,7/31/2016
wil,dry_years,8/1/2015,7/31/2016
zie,dry_years,8/1/2015,7/31/2016
que,dry_years,8/1/2015,7/31/2016
sfc,dry_years,8/1/2017,7/31/2018
tre,dry_years,8/1/2017,7/31/2018
uql,dry_years,8/1/2017,7/31/2018
wil,dry_years,8/1/2017,7/31/2018
zie,dry_years,8/1/2017,7/31/2018
que,dry_years,8/1/2017,7/31/2018
sfc,HY17,8/1/2016,7/31/2017
tre,HY17,8/1/2016,7/31/2017
uql,HY17,8/1/2016,7/31/2017
wil,HY17,8/1/2016,7/31/2017
zie,HY17,8/1/2016,7/31/2017
que,HY17,8/1/2016,7/31/2017
sfc,HY18,8/1/2017,7/31/2018
tre,HY18,8/1/2017,7/31/2018
uql,HY18,8/1/2017,7/31/2018
wil,HY18,8/1/2017,7/31/2018
zie,HY18,8/1/2017,7/31/2018
que,HY18,8/1/2017,7/31/2018
sfc,HY19,8/1/2018,7/31/2019
tre,HY19,8/1/2018,7/31/2019
uql,HY19,8/1/2018,7/31/2019
wil,HY19,8/1/2018,7/31/2019
zie,HY19,8/1/2018,7/31/2019
que,HY19,8/1/2018,7/31/2019
sfc,HY20,8/1/2019,7/31/2020
tre,HY20,8/1/2019,7/31/2020
uql,HY20,8/1/2019,7/31/2020
wil,HY20,8/1/2019,7/31/2020
zie,HY20,8/1/2019,7/31/2020
que,HY20,8/1/2019,7/31/2020
sfc,post_yard,5/1/2018,7/31/2020
wil,post_yard,5/1/2018,7/31/2020
zie,post_yard,5/1/2018,7/31/2020
que,post_yard,5/1/2018,7/31/2020
tre,post_yard,8/1/2018,7/31/2020
uql,post_yard,8/1/2018,7/31/2020
sfc,pre_yard,8/1/2015,4/30/2018
wil,pre_yard,8/1/2015,4/30/2018
zie,pre_yard,8/1/2015,4/30/2018
que,pre_yard,8/1/2015,4/30/2018
tre,pre_yard,8/1/2015,7/31/2018
uql,pre_yard,8/1/2015,7/31/2018
sfc,wet_years,8/1/2016,7/31/2017
tre,wet_years,8/1/2016,7/31/2017
uql,wet_years,8/1/2016,7/31/2017
wil,wet_years,8/1/2016,7/31/2017
zie,wet_years,8/1/2016,7/31/2017
que,wet_years,8/1/2016,7/31/2017
sfc,wet_years,8/1/2018,7/31/2019
tre,wet_years,8/1/2018,7/31/2019
uql,wet_years,8/1/2018,7/31/2019
wil,wet_years,8/1/2018,7/31/2019
zie,wet_years,8/1/2018,7/31/2019
que,wet_years,8/1/2018,7/31/2019
